Maurus Lapi de Florentia	<Maurus Lapi, Mauro Lapi>	Itinerarium Hierosolymitanum
Maurus Lapi de Florentia	<Maurus Lapi, Mauro Lapi>	Stratto tirattolo dal santo passaggio
Maurus Lapi de Florentia	<Maurus Lapi, Mauro Lapi>	Vita donni Petri de Sardinea monaci Camaldulensis
Michael Savonarola	<Michele Savonarola>	De balneis et thermis naturalibus omnibus Italiae
Nicolaus Botruntinensis	<Nicola di Butrinto, Nicola di Ligny>	Relatio de itinere Italico Henrici VII imperatoris
Nicolaus Nicolus	<Nicolaus de Nicoli, Nicolaus Nicolai, Niccolò Niccoli>	Commentarium in peregrinatione Germaniae
Nicolaus Scillacius	<Nicola Squillaci, Nicola Scillaco>	De insulis Meridiani atque Indici maris nuper inventis
Nicolaus Signorilis	<Nicolò Signorili, Nicolaus de Signorilis>	De iuribus et excellentiis urbis Romae
Nicolaus de Comitibus	<Niccolò de' Conti>	India recognita
Nicolaus de Marthono	<Nicola de Martoni>	Liber peregrinationis ad loca sancta
Nicolaus de Rosenberg	<Nikolaus von Rosenberg>	De situ, moribus et diversitate Scythicarum gentium 
Odo de Diogilo	<Edes de Deuil>	De profectione Ludovici VII in Orientem
Odoricus de Portu Naonis	<Odorico da Pordenone>	Relatio de mirabilibus orientalium Tatarorum
Oliverius Coloniensis	<Oliviero da Colonia>	Descriptio Terrae Sanctae
Opicinus de Canistris	<Opicino de' Canistris>	Liber de laudibus civitatis Ticinensis
Opus sine auctore	<>	Breve commemoratorii de illis casis Dei vel monasteriis qui sunt in sancta Hierusalem vel in circuitu eius
Opus sine auctore	<>	Chronica de civitate Ravennae
Opus sine auctore	<>	Chronicon Altinate
Opus sine auctore	<>	Chronicon Gradense
Opus sine auctore	<>	Chronicon Terrae Sanctae
Opus sine auctore	<>	Civitates et castra que sunt in liga et societate in Tuscia contra dominum nostrum (Notitia antiqua status Hetruriae)
Opus sine auctore	<>	De Constantinopoli civitate
Opus sine auctore	<>	De Gallica Petri Damiani profectione et eius ultramontano itinere
Opus sine auctore	<>	De Hierusalem et de locis sanctis
Opus sine auctore	<>	De itinere Frisonum
Opus sine auctore	<>	De laude Pampilone epistola
Opus sine auctore	<>	De loci Goslariensis fundatione
Opus sine auctore	<>	De locis sanctis martyrum quae sunt foris civitatis Romae
Opus sine auctore	<>	De origine civitatis Erfordensis
Opus sine auctore	<>	De rebus naturalibus et curiositatibus Terrae Sanctae
Opus sine auctore	<>	De situ Albanie
Opus sine auctore	<>	De situ Brecheniauc
Opus sine auctore	<>	De situ urbis Hierusalem
Opus sine auctore	<>	Descriptio Europae Orientalis
Opus sine auctore	<>	Descriptio Florentinae urbis et reipublicae
Opus sine auctore	<>	Descriptio Frisiae
Opus sine auctore	<>	Descriptio Italiae
Opus sine auctore	<>	Descriptio Lateranensis ecclesiae
Opus sine auctore	<>	Descriptio Marchiae Anconitanae
Opus sine auctore	<>	Descriptio Terrae Sanctae
Opus sine auctore	<>	Descriptio positionis seu situationis monasterii Claraevallensis
Opus sine auctore	<>	Descriptio regni Cataiae
Opus sine auctore	<>	Descriptio sanctorum locorum Hierusalem
Opus sine auctore	<>	Descriptiones terrarum
Opus sine auctore	<>	Epistola Alexandri Magni ad Aristotelem de miraculis Indiae
Opus sine auctore	<>	Epistola Iohannis presbyteri, regis Indiae
Opus sine auctore	<>	Expositio mappae mundi
Opus sine auctore	<>	Graphia aureae urbis Romae
Opus sine auctore	<>	Historia de via Hierosolymis
Opus sine auctore	<>	Historia peregrinorum
Opus sine auctore	<>	Indulgentiae ecclesiarum urbis Romae
Opus sine auctore	<>	Iter Altmanni abbatis Altahensis
Opus sine auctore	<>	Itinerarium Antonini Placentini
Opus sine auctore	<>	Itinerarium cuiusdam Anglici Terram Sanctam et alia loca sancta visitantis
Opus sine auctore	<>	Itinerarium de Brugis
Opus sine auctore	<>	Laudes Coloniae
Opus sine auctore	<>	Libellus descriptionis Terrae Sanctae et peregrinationum ipsius extractus a variis hystoriis, cronicis et Sanctarum Scripturarum sententiis
Opus sine auctore	<>	Liber de existencia rivierarum et forma maris nostri Mediterranei
Opus sine auctore	<>	Liber pontificalis Ravennatis
Opus sine auctore	<>	Liber sancti Iacobi
Opus sine auctore	<>	Loca et civitates Terrae Sanctae
Opus sine auctore	<>	Loca sancta visitanda in partibus Ierusalem
Opus sine auctore	<>	Memoria de illis monasteriis quae sunt in extremis Hierusalem in terra promissionis
Opus sine auctore	<>	Mirabilia urbis Romae
Opus sine auctore	<>	Narratio itineris navalis ad Terram Sanctam
Opus sine auctore	<>	Navigatio Sancti Brendani
Opus sine auctore	<>	Notitia ecclesiarum urbis Romae
Opus sine auctore	<>	Oppositum montem conscendere cernis Orontem
Opus sine auctore	<>	Ordo peregrinationum in Iherusalem
Opus sine auctore	<>	Peregrinatio Antiochie per Urbanum papam facta
Opus sine auctore	<>	Peregrinatio et indulgentie Terre Sancte
Opus sine auctore	<>	Situs orbis terrae vel regionum
Opus sine auctore	<>	Tractatus de locis et statu sancte terre Ierosolimitane
Opus sine auctore	<>	Tractatus de rebus antiquis et situ urbis Romae (Anonymus Magliabechianus)
Palladius Niger	<Palladius Fuscus, Palladio Negri>	De situ orae Illyrici
Paschalis de Victoria	<Pascal de Vitoria, Pasquale da Vittoria>	Epistola de suo in Tartariam itinere
Paulus Sanctoninus	<Paulus de Sanctoninis, Paolo Santonino>	Itinerarium
Paulus Waltherus de Guglingen	<Paulus Walter>	Itinerarium in Terram Sanctam et ad Sanctam Catharinam
Petrus Amelii de Brenaco	<Pietro Ameli>	Itinerarium Gregorii XI Avenione Romam
Petrus Blesensis	<Pierre de Blois, Pietro di Blois>	Conquestio de dilatione viae Ierosolimitanae
Petrus Diaconus	<Pietro Diacono>	De locis sanctis
Petrus Franciscus Iustulus	<Pier Francesco Giustolo>	Descriptio montis Spoleto imminentis ad Clarelium Lupum
Petrus Mallii	<Petrus Mallius, Petrus de Mallo, Pietro Mallio>	Descriptio Basilicae Vaticanae
Petrus Paulus Paravicinus	<Pietro Paolo Paravicino, Pietro Paolo Paravicini>	De Masinensium et Burmiensium thermarum situ, natura miraculisque
Petrus Paulus Vergerius	<Petrus Iustinopolitanus, Petrus Histrus, Pietro Paolo Vergerio il Vecchio>	De situ urbis Iustinopolitane
